GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ShopEaseProject,com.example,MembershipStatus,0,21,0,0,0,2,0,1,0,1
ShopEaseProject,com.example,ShopEase,47,43,6,8,14,10,7,4,2,1
